DeliveryID,RouteID,DriverID,Region,ShipmentType,DeliveryDate,ExpectedDeliveryDate,DeliveryStatus,PriorityFlag
100000,R004,,SW,Priority,2024-09-08 02:05:35,2024-09-07 02:05:35,On-Time,1
100001,R005,Driver 16,MW,Express,2023-02-20 07:27:34,2023-02-22 07:27:34,Late,1
100002,R003,Driver 14,MW,Standard,2023-10-07 22:06:06,2023-10-08 22:06:06,On-Time,0
100003,R005,Driver 10,N.,Standard,2024-07-27 18:55:44,2024-07-28 18:55:44,On-Time,0
100004,R005,Driver 7,MW,Express,2025-01-29 03:14:10,2025-01-30 03:14:10,On-Time,0
100005,R002,Driver 13,NE,Priority,2024-02-08 01:39:59,2024-02-09 01:39:59,Exception,0
100006,R003,Driver 20,MW,Express,2024-12-24 08:34:09,2024-12-23 08:34:09,On-Time,0
100007,R003,Driver 5,NE,E.,2023-08-23 01:16:54,2023-08-24 01:16:54,On-Time,0
100008,R003,Driver 3,NW,Express,2025-10-23 18:01:28,2025-10-22 18:01:28,On-Time,0
100009,R005,Driver 15,SW,Standard,2024-07-18 21:06:23,2024-07-20 21:06:23,Late,0
100010,R004,Driver 4,NE,Standard,2023-09-03 08:00:20,2023-09-03 08:00:20,On-Time,0
100011,R003,Driver 15,SW,Standard,2023-07-29 17:34:03,2023-07-29 17:34:03,On-Time,0
100012,R005,Driver 14,SW,Priority,2024-02-17 17:20:28,2024-02-17 17:20:28,On-Time,0
100013,R002,Driver 20,NE,Express,2024-06-06 11:48:48,2024-06-05 11:48:48,On-Time,0
100014,R004,Driver 19,NW,Express,2024-08-23 10:00:45,2024-08-22 10:00:45,On-Time,0
100015,R002,Driver 13,SE,Priority,2023-06-24 05:20:42,2023-06-23 05:20:42,On-Time,0
100016,R004,Driver 10,SW,Standard,2024-12-03 13:32:01,2024-12-05 13:32:01,Late,0
100017,R005,,SW,Express,2025-09-29 11:11:49,2025-09-27 11:11:49,On-Time,1
100018,R001,Driver 5,NW,Priority,2025-05-28 11:38:54,2025-05-27 11:38:54,On-Time,0
100019,R004,,NW,Standard,2024-03-28 08:16:58,2024-03-27 08:16:58,Late,0
100020,R002,Driver 20,MW,Standard,2024-03-01 20:58:53,2024-03-01 20:58:53,Exception,0
100021,R005,Driver 20,NW,Express,2025-10-22 08:31:47,2025-10-23 08:31:47,Late,0
100022,R004,,SW,Standard,2024-07-06 14:50:11,2024-07-07 14:50:11,On-Time,0
100023,R001,Driver 6,NE,Priority,2025-05-24 09:53:38,2025-05-26 09:53:38,On-Time,0
100024,R001,Driver 4,SE,Standard,2025-10-05 02:05:31,2025-10-06 02:05:31,On-Time,0
100025,R003,Driver 2,MW,Express,2025-11-29 10:54:15,2025-11-27 10:54:15,On-Time,0
100026,R003,,NE,Priority,2025-07-03 17:30:54,2025-07-03 17:30:54,On-Time,0
100027,R002,Driver 16,SE,Standard,2024-08-06 02:06:02,2024-08-08 02:06:02,Late,0
100028,R004,Driver 18,SE,Standard,2025-10-31 02:42:51,2025-11-01 02:42:51,On-Time,1
100029,R004,Driver 5,SE,Standard,2024-06-15 04:29:38,2024-06-16 04:29:38,On-Time,0
100030,R003,,NE,Priority,2024-03-15 19:59:12,2024-03-15 19:59:12,On-Time,0
100031,R004,Driver 4,MW,Standard,2023-09-03 20:20:12,2023-09-05 20:20:12,On-Time,1
100032,R004,Driver 13,M.,Express,2024-03-19 10:24:05,2024-03-19 10:24:05,On-Time,0
100033,R001,Driver 19,SE,Priority,2025-06-26 00:46:12,2025-06-28 00:46:12,On-Time,0
100034,R003,,NE,Priority,2025-12-06 23:29:18,2025-12-07 23:29:18,On-Time,0
100035,R005,Driver 2,SE,Standard,2023-05-09 10:29:09,2023-05-09 10:29:09,On-Time,0
100036,R003,Driver 13,NW,Priority,2024-06-26 16:42:27,2024-06-26 16:42:27,Late,0
100037,R005,Driver 11,M.,Express,2024-06-25 09:37:35,2024-06-23 09:37:35,On-Time,0
100038,R001,,SW,Priority,2025-04-18 10:36:57,2025-04-18 10:36:57,Late,0
100039,R002,Driver 4,SE,Express,2024-07-27 15:31:26,2024-07-29 15:31:26,On-Time,0
100040,R004,,NW,Standard,2024-01-24 21:22:50,2024-01-22 21:22:50,Late,0
100041,R001,Driver 20,MW,Priority,2024-10-18 03:24:01,2024-10-18 03:24:01,On-Time,0
100042,R004,Driver 20,NE,Express,2024-12-19 19:56:39,2024-12-19 19:56:39,Late,0
100043,R002,Driver 15,MW,Standard,2025-06-09 16:07:00,2025-06-07 16:07:00,On-Time,0
100044,R002,Driver 4,NE,Express,2023-03-30 15:44:43,2023-03-31 15:44:43,On-Time,1
100045,R001,Driver 9,NE,Priority,2025-01-21 09:44:30,2025-01-21 09:44:30,On-Time,0
100046,R002,Driver 7,SE,Priority,2023-08-16 02:52:07,2023-08-15 02:52:07,On-Time,0
100047,R005,Driver 19,SE,Express,2024-09-24 17:17:50,2024-09-25 17:17:50,On-Time,0
100048,R002,Driver 19,MW,Standard,2023-03-16 14:36:20,2023-03-16 14:36:20,Exception,0
100049,R004,Driver 6,NW,Standard,2024-07-03 19:18:13,2024-07-04 19:18:13,On-Time,0
100050,R004,Driver 6,MW,Standard,2023-08-10 21:57:48,2023-08-12 21:57:48,On-Time,0
100051,R004,Driver 20,SW,Standard,2024-12-20 05:40:14,2024-12-21 05:40:14,On-Time,0
100052,R004,Driver 15,NE,Express,2025-08-20 19:12:09,2025-08-18 19:12:09,On-Time,0
100053,R005,Driver 15,NE,Priority,2023-08-11 16:46:05,2023-08-11 16:46:05,On-Time,0
100054,R003,,SE,Express,2023-06-06 14:57:19,2023-06-07 14:57:19,On-Time,0
100055,R001,Driver 20,NW,Priority,2023-07-16 03:33:56,2023-07-15 03:33:56,Late,1
100056,R004,Driver 9,SE,Priority,2025-11-06 00:27:30,2025-11-08 00:27:30,On-Time,0
100057,R002,Driver 4,SW,Express,2024-07-07 11:51:53,,Exception,0
100058,R004,Driver 18,MW,Express,2023-10-28 10:40:18,2023-10-29 10:40:18,On-Time,1
100059,R002,Driver 18,MW,Standard,2023-06-24 06:20:35,2023-06-22 06:20:35,Exception,0
100060,R002,Driver 5,NW,Priority,2024-07-01 02:03:33,2024-07-03 02:03:33,On-Time,0
100061,R004,Driver 20,SE,Standard,2025-04-23 01:07:41,2025-04-24 01:07:41,Late,0
100062,R005,,SE,Standard,2024-10-24 21:26:46,2024-10-25 21:26:46,On-Time,0
