SalesID,DeliveryID,DateKey,ProductType,Region,UnitsSold,SalesAmount
300000,104454,2025-03-11 09:37:19,Freight,NE,3,494.76
300001,102028,2025-05-07 04:57:13,Medium Package,MW,2,230.1
300002,100764,2024-03-20 00:32:58,Large Package,NW,3,65.57
300003,102537,2024-12-17 05:06:24,Freight,SE,2,364.37
300004,100191,2024-05-24 08:39:42,Medium Package,MW,1,450.76
300005,100243,2024-07-30 21:17:01,Small Package,SW,3,346.58
300006,100933,2023-10-17 22:54:11,Freight,SW,4,258.69
300007,104678,2023-08-08 00:07:59,Medium Package,NW,1,138.29
300008,103930,2024-08-18 02:23:56,Large Package,SW,1,234.08
300009,101100,2024-01-04 19:48:26,Medium Package,NW,4,222.68
300010,100732,2023-01-27 03:41:25,Small Package,SW,3,482.09
300011,104052,2025-12-08 16:44:51,Freight,NE,1,37.73
300012,100780,2025-03-04 04:59:08,Large Package,SE,4,195.04
300013,100793,2023-12-16 02:46:28,Medium Package,SE,1,169.31
300014,102953,2024-01-19 05:27:39,Small Package,M.,3,491.43
300015,102780,2024-04-24 16:31:38,Small Package,MW,1,23.11
300016,100090,2025-05-27 08:47:34,Small Package,NE,3,160.38
300017,102435,2025-10-06 15:10:48,Medium Package,NE,3,487.44
300018,101641,2024-02-08 19:35:50,Large Package,S.,1,96.43
300019,103358,2025-10-23 06:14:56,Medium Package,MW,3,398.87
300020,103856,2025-03-10 09:51:45,Large Package,MW,1,290.59
300021,103067,2025-11-25 09:29:15,Freight,SE,3,454.86
300022,100435,2023-05-24 07:53:46,Large Package,NW,3,439.09
300023,101828,2024-06-18 14:52:55,Small Package,N.,3,296.59
300024,101916,2023-10-13 16:58:09,Small Package,MW,1,286.05
300025,100046,2025-10-05 03:31:32,Small Package,SE,2,92.53
300026,102354,2025-03-03 01:17:50,Medium Package,NE,1,49.0
300027,100113,2025-03-22 23:01:57,Freight,SE,4,371.41
300028,101081,2024-04-01 15:30:24,Large Package,NW,3,314.03
300029,104139,2025-04-03 01:01:36,Small Package,SW,1,401.78
300030,103302,2024-06-20 09:45:05,Freight,MW,3,28.74
300031,100393,2025-11-13 10:25:03,Freight,NE,2,468.17
300032,101589,2023-04-13 19:14:58,Medium Package,SE,2,55.06
300033,104855,2025-01-05 21:15:20,L.,SE,1,454.22
300034,101437,2025-10-24 20:44:50,Freight,N.,1,111.79
300035,101525,2024-04-26 17:10:33,L.,M.,4,144.79
300036,104325,2023-10-19 00:48:40,Medium Package,MW,2,438.46
300037,104451,2025-03-05 03:38:06,Large Package,SE,4,236.69
300038,104595,2024-05-18 14:22:15,Medium Package,MW,1,353.32
300039,104115,2023-08-06 04:09:17,Small Package,SW,4,451.99
300040,104310,2023-03-21 01:02:02,Large Package,NW,3,159.97
300041,100743,2024-06-08 23:06:30,Medium Package,NW,3,85.17
300042,102541,2023-05-14 00:02:55,Freight,SW,4,279.42
300043,102165,2025-04-21 05:23:25,Small Package,MW,1,206.36
300044,101654,2024-07-14 03:24:29,Freight,SE,4,403.4
300045,103507,2025-03-25 13:45:39,Small Package,MW,2,22.42
300046,103801,2024-09-03 04:16:07,Small Package,NE,3,298.59
300047,103811,2025-07-24 07:21:42,Large Package,NE,3,267.65
300048,103469,2023-11-14 08:08:02,F.,MW,3,427.87
300049,100262,2024-04-21 07:51:18,F.,SW,3,296.75
300050,104431,2025-12-28 11:53:03,Small Package,NE,2,497.93
300051,104617,2024-07-06 20:51:33,Small Package,NW,3,32.74
300052,103733,2025-12-13 14:40:45,Small Package,SE,2,261.72
300053,103801,2025-01-17 18:54:42,Medium Package,SW,2,488.48
300054,101016,2024-04-08 04:10:04,Large Package,NE,2,473.89
300055,100983,2023-10-11 05:21:07,Small Package,S.,3,124.93
300056,101559,2025-01-18 04:51:33,Large Package,NW,3,417.07
300057,102702,2025-06-20 12:27:40,Small Package,N.,2,406.58
300058,102263,2023-12-24 08:40:24,Medium Package,NE,3,481.99
300059,104329,2025-07-10 14:24:52,Small Package,SE,4,264.5
300060,104497,2023-04-24 23:18:31,Large Package,SE,3,274.03
